order,english,korean,spanish,russian
event1_14,undead>Hey pal. After you kill me` who do you want to kill next?,undead>거기 오크 친구. 자네가 날 죽이면 그 뒤엔 누구를 죽일건가?,undead>Ey` chaval. ¿A quién quieres matar después de acabar conmigo?,undead>Эй` приятель. После того как ты убьешь меня` кого ты хочешь убить следующим?
event1_15,orc>I kill you and pity annoying humans!,orc>너 죽는다 나한테! 그리고 휴먼족도 다 뭉개버린다!,orc>Yo matar a tu y luego matar a humano lamentable.,orc>Я убью тебя` а потом и этих жалких надоедливых людишек!
event1_16,hero>WhAT?(yell),hero>머라꼬?(yell),hero>¿Qué?(yell),hero>Что???(yell)
event1_17,undead>See?,undead>들었지?,undead>¿Ves?,undead>Видишь?
event1_18,hero>What are you talking about? We are friends` now.,hero>무슨 말이야? 이제 우린 동료잖아! 내 목숨까지 구해줬잖아?,hero>¿De qué estás hablando? Ahora somos amigos.,hero>О чем ты говоришь? Мы же друзья сейчас.
event1_19,orc>Bullshit! No friend become Human and Orc. Orc kill Human. Bad Human.,orc>강아지 풀 심는 소리! 오크족 휴먼족 친구 못한다! 휴먼족 나쁘다! 겁나 나쁘다!,orc>¡Paparruchas! No amigos entre orcos y humanos. Orco matar humano. Humano malo.,orc>Чушь собачья! Ни какой дружбы между орками и людьми. Орк убьют всех людей. Люди плохие.
event1_20,hero>Why is Human bad? You are the one who kills.,hero>왜 휴먼족이 나쁜거야? 틈만 나면 다 뭉개버리는 건 너희들이잖아!,hero>¿Por qué los humanos son los malos? Tu eres el que va matando por ahí.,hero>Почему это люди плохие? Вы же убийцы
event1_21,orc>Orc kill human. Because Human kill everything else.,orc>오크는 휴먼 뭉갠다! 왜냐하면 휴먼은 세상 모든걸 다 뭉개버리기 때문이다!,orc>Orco matar a humano porque humano matar todo lo demás.,orc>Орки убивают людей` потому что люди уничтожают всё на своём пути.
event1_22,hero>I have no idea what you are talking about.,hero>무슨 말인지 하나도 모르겠군.,hero>No sé de qué estás hablando.,hero>Понятия не имею` о чем ты говоришь.
event1_23,undead>See? You guys never learn. That’s why I wanted to bring end to the world.,undead>봤지? 너희들은 항상 똑같다니깐. 그래서 이 세상엔 리프뤠쉬가 필요한거야. 종말이 필요해.,undead>¿Ves? Nunca aprendéis. Por eso quería destruir el mundo.,undead>Видите? Вы` ребята` ничему не учитесь. Вот почему я собираюсь положить конец этому миру.
event1_24,undead>That is D only solution.,undead>그게 유일한 해결책이야.,undead>Esa es la única solución.,undead>Это единственно верное решение.
event1_25,undead>And it is still on the way.,undead>그리고 아직 진행중이지! 무와하!,undead>Y sigue siendo la única manera.,undead>И я все ещё в процессе.
event1_26,hero>He’s gone!,hero>가버렸어!,hero>¡Ya no está!,hero>Он ушел!
event1_27,orc>He died. Zombie died. Now human!,orc>레밍머시기 죽었다! 이제 휴먼 차례다! 거기 딱 서있어라!,orc>Muerto. Zombi muerto. Ahora humano.,orc>Он умер. Зомби умер. Теперь время умирать человеку!
event1_28,orc>OAHAOHAOAHOAHOAHOAHOAHOA!(yell),orc>우오우오오오오오!(yell),orc>¡OAHAOHAOAHOAHOAHOAHOAHOA!(yell),orc>Агрхгргхрг!!!(yell)
event1_29,hero>WAIT!(yell),hero>자..잠깐만!(yell),hero>¡Espera!(yell),hero>СТОЙ!!!(yell)
